lon,lat,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,province
109,18.5,0,2,3,4,11,10,2,0,10,7,22,海南省
109.5,18.5,0,3,5,3,6,9,4,2,17,5,24,海南省
110,18.5,0,0,0,0,0,9,0,0,3,5,8,海南省
109,19,4,2,3,6,7,9,4,0,11,3,24,海南省
109.5,19,3,0,3,4,6,7,5,0,5,5,23,海南省
110,19,0,0,2,4,0,8,0,0,6,4,19,海南省
110.5,19,0,0,0,0,0,2,0,0,3,0,5,海南省
109,19.5,4,0,0,4,11,14,4,0,0,2,15,海南省
109.5,19.5,4,0,4,2,5,14,4,0,0,3,17,海南省
110,19.5,6,0,4,4,10,7,0,0,3,4,14,海南省
110.5,19.5,2,0,0,0,4,10,0,0,3,4,12,海南省
110.5,20,2,0,0,0,8,4,1,0,2,3,9,海南省
110,20.5,2,2,6,4,17,10,2,0,10,0,11,广东省
110.5,20.5,0,0,0,0,0,2,0,0,0,0,4,广东省
110,21,2,4,2,2,8,10,4,0,5,2,9,广东省
110.5,21,0,0,0,0,0,2,0,0,0,2,2,广东省
100.5,21.5,16,0,6,8,14,18,12,11,2,26,20,云南省
101.5,21.5,15,0,7,11,14,18,9,7,3,27,22,云南省
109.5,21.5,0,0,0,0,6,4,0,0,0,0,7,广西壮族自治区
110,21.5,0,0,3,4,5,6,4,0,0,2,8,广东省
110.5,21.5,0,0,2,0,0,3,1,0,0,5,8,广东省
100,22,20,3,12,12,18,18,11,15,5,26,21,云南省
100.5,22,16,0,5,10,18,16,13,13,2,28,22,云南省
101,22,18,0,5,12,17,22,9,13,2,27,21,云南省
101.5,22,15,0,7,10,16,17,11,7,3,27,22,云南省
107,22,5,0,4,4,5,7,2,0,0,3,12,广西壮族自治区
107.5,22,0,2,6,2,5,4,2,0,0,3,12,广西壮族自治区
108,22,0,0,4,2,3,4,0,0,0,3,10,广西壮族自治区
108.5,22,0,0,0,0,0,3,0,0,0,3,10,广西壮族自治区
109,22,0,0,2,0,4,0,0,0,0,2,10,广西壮族自治区
109.5,22,0,0,0,0,3,0,0,0,0,2,6,广西壮族自治区
110,22,0,0,0,0,1,0,0,0,0,2,6,广西壮族自治区
110.5,22,0,0,0,0,2,2,1,0,2,2,6,广东省
111,22,0,0,0,0,0,2,0,0,5,2,8,广东省
111.5,22,0,0,0,0,2,2,0,0,2,2,2,广东省
112,22,0,0,0,0,0,0,0,0,2,3,2,广东省
112.5,22,0,0,0,0,0,0,0,0,4,2,0,广东省
113,22,0,0,2,0,0,0,0,0,4,0,0,广东省
99.5,22.5,20,0,14,1,20,13,10,16,9,27,21,云南省
100,22.5,20,0,14,8,22,13,14,13,8,28,21,云南省
100.5,22.5,21,2,5,10,19,18,14,13,2,29,21,云南省
101,22.5,21,0,5,11,18,18,14,12,3,29,21,云南省
101.5,22.5,16,0,7,10,15,15,14,7,3,27,22,云南省
102,22.5,15,0,4,2,11,15,11,7,3,26,20,云南省
103,22.5,10,0,5,0,6,13,8,6,0,7,19,云南省
107,22.5,2,0,4,5,5,4,4,0,2,3,7,广西壮族自治区
107.5,22.5,0,3,7,0,7,4,3,0,0,3,7,广西壮族自治区
108,22.5,0,3,4,2,4,4,2,0,0,3,8,广西壮族自治区
108.5,22.5,0,1,2,0,0,2,0,0,0,3,5,广西壮族自治区
109,22.5,0,0,2,0,0,2,0,0,0,3,6,广西壮族自治区
109.5,22.5,0,0,0,0,1,0,0,0,0,3,5,广西壮族自治区
110,22.5,0,0,0,0,1,0,1,0,0,2,5,广西壮族自治区
110.5,22.5,0,0,0,0,0,0,1,0,0,2,5,广西壮族自治区
111,22.5,0,0,0,0,1,0,0,0,2,2,5,广东省
111.5,22.5,0,0,0,0,0,0,1,0,0,3,6,广东省
112,22.5,0,0,0,0,0,0,0,0,2,4,6,广东省
112.5,22.5,0,0,0,0,0,0,0,0,8,4,6,广东省
113,22.5,0,0,0,0,0,0,0,0,4,2,6,广东省
113.5,22.5,0,0,2,0,0,0,0,0,7,0,0,广东省
114.5,22.5,0,0,2,0,0,0,0,0,4,0,0,广东省
100,23,19,0,16,7,19,18,9,9,5,28,20,云南省
100.5,23,22,0,7,8,19,22,9,9,2,29,22,云南省
101,23,20,0,5,10,19,21,12,14,2,29,23,云南省
101.5,23,18,0,7,7,19,14,14,8,2,29,23,云南省
102,23,15,0,5,3,14,12,11,7,2,26,20,云南省
102.5,23,8,0,5,2,8,14,6,6,0,19,16,云南省
103,23,14,0,5,3,12,14,11,4,2,12,17,云南省
103.5,23,12,0,5,2,16,12,3,2,0,11,9,云南省
104,23,12,0,6,10,13,12,9,4,0,8,16,云南省
104.5,23,14,0,4,8,10,12,7,3,0,5,13,云南省
106,23,2,0,4,5,3,8,5,1,2,3,6,广西壮族自治区
106.5,23,0,0,4,4,3,4,2,0,0,3,5,广西壮族自治区
107,23,0,0,4,4,3,3,2,0,0,3,5,广西壮族自治区
107.5,23,0,0,3,2,4,4,3,0,0,3,7,广西壮族自治区
108,23,0,0,3,2,2,3,0,0,0,3,7,广西壮族自治区
108.5,23,0,0,3,0,0,3,0,0,0,3,5,广西壮族自治区
109,23,0,2,2,0,0,2,0,0,0,3,5,广西壮族自治区
109.5,23,0,0,0,0,0,2,0,0,0,3,5,广西壮族自治区
110,23,0,0,0,0,0,0,1,0,0,2,5,广西壮族自治区
110.5,23,0,0,0,0,0,0,0,0,0,2,5,广西壮族自治区
111,23,0,0,0,0,0,0,0,0,5,2,5,广西壮族自治区
111.5,23,0,0,0,0,1,0,1,0,5,2,5,广东省
112,23,0,0,0,0,0,0,1,0,5,0,5,广东省
112.5,23,0,0,0,0,0,0,0,0,5,2,5,广东省
113,23,0,0,0,0,0,0,0,0,2,2,5,广东省
113.5,23,0,0,0,0,0,0,0,0,6,2,2,广东省
114,23,0,1,0,0,0,0,0,0,6,0,9,广东省
114.5,23,0,0,0,0,0,0,0,0,12,0,9,广东省
115,23,0,0,0,0,0,0,0,0,12,0,9,广东省
115.5,23,0,0,0,0,0,0,0,0,15,0,9,广东省
116,23,0,0,0,0,0,0,0,0,14,0,9,广东省
116.5,23,0,0,0,0,0,0,0,0,6,0,0,广东省
99,23.5,18,0,17,0,18,9,8,9,5,29,18,云南省
