lon,lat,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,province,month
109,18.5,0,6,7,8,16,10,6,0,18,15,25,海南省,5
109,18.5,14,0,0,1,11,22,18,6,5,18,23,海南省,6
109,18.5,17,0,0,5,0,9,6,0,0,13,11,海南省,7
109,18.5,0,0,0,0,0,7,0,0,0,0,7,海南省,8
109,18.5,0,0,0,0,0,0,0,0,0,0,8,海南省,9
109,18.5,0,0,0,0,0,0,0,0,0,0,0,海南省,10
109.5,18.5,0,7,9,7,15,9,8,6,23,9,28,海南省,5
109.5,18.5,8,0,0,1,8,14,15,0,6,14,18,海南省,6
109.5,18.5,9,0,0,6,0,9,7,0,0,14,9,海南省,7
109.5,18.5,0,0,0,0,0,20,0,6,0,0,6,海南省,8
109.5,18.5,0,0,0,0,0,0,0,6,0,0,7,海南省,9
109.5,18.5,0,0,0,0,0,0,0,0,0,0,0,海南省,10
110,18.5,0,0,0,0,0,10,0,0,5,9,13,海南省,5
110,18.5,6,6,0,13,11,13,17,9,14,16,12,海南省,6
110,18.5,9,7,6,0,11,9,20,1,8,13,6,海南省,7
110,18.5,0,0,5,0,0,12,20,13,0,12,13,海南省,8
110,18.5,0,7,1,0,0,6,0,6,0,0,12,海南省,9
110,18.5,0,0,0,0,0,0,0,0,0,0,0,海南省,10
109,19,8,6,7,11,8,9,8,0,14,7,28,海南省,5
109,19,9,21,0,3,10,24,6,0,5,10,27,海南省,6
109,19,17,0,0,0,0,6,7,0,0,10,27,海南省,7
109,19,0,0,0,0,0,0,0,0,0,0,3,海南省,8
109,19,0,0,0,0,0,0,0,0,0,0,0,海南省,9
109,19,0,0,0,0,0,0,0,0,0,0,0,海南省,10
109.5,19,7,0,7,8,12,7,8,0,9,9,28,海南省,5
109.5,19,8,6,0,0,10,25,15,7,0,16,26,海南省,6
109.5,19,13,6,0,0,0,10,14,0,0,14,23,海南省,7
109.5,19,0,0,0,0,0,12,6,0,0,0,6,海南省,8
109.5,19,0,0,0,0,0,0,0,0,0,0,3,海南省,9
109.5,19,0,0,0,0,0,0,0,0,0,0,0,海南省,10
110,19,0,0,6,8,0,9,0,0,11,8,28,海南省,5
110,19,16,6,0,0,9,22,15,9,3,16,21,海南省,6
110,19,10,7,0,0,6,9,14,0,7,18,27,海南省,7
110,19,0,0,0,0,0,13,9,0,0,6,3,海南省,8
110,19,0,0,0,0,0,7,0,0,0,0,0,海南省,9
110,19,0,0,0,0,0,0,0,0,0,0,0,海南省,10
110.5,19,0,0,0,0,0,6,0,0,5,0,11,海南省,5
110.5,19,0,0,7,0,6,6,16,15,8,15,6,海南省,6
110.5,19,7,0,0,0,7,15,15,2,6,4,14,海南省,7
110.5,19,0,2,5,0,16,17,14,22,0,10,18,海南省,8
110.5,19,12,7,1,6,0,11,9,9,0,6,16,海南省,9
110.5,19,0,0,0,0,0,1,3,0,0,0,0,海南省,10
109,19.5,8,0,0,9,12,15,8,0,0,6,23,海南省,5
109,19.5,14,18,0,3,11,24,11,0,0,10,28,海南省,6
109,19.5,18,0,0,0,0,0,13,0,0,14,30,海南省,7
109,19.5,0,0,0,0,0,0,0,7,0,0,2,海南省,8
109,19.5,0,0,0,0,0,0,0,0,0,0,0,海南省,9
109,19.5,0,0,0,0,0,0,0,0,0,0,0,海南省,10
109.5,19.5,8,0,12,6,8,20,8,0,0,7,27,海南省,5
109.5,19.5,12,19,0,0,10,25,6,0,0,9,27,海南省,6
109.5,19.5,18,9,0,0,0,8,14,0,0,18,29,海南省,7
109.5,19.5,0,0,0,0,0,0,0,0,0,0,2,海南省,8
109.5,19.5,0,0,0,0,0,0,0,0,0,0,0,海南省,9
109.5,19.5,0,0,0,0,0,0,0,0,0,0,0,海南省,10
110,19.5,14,0,8,9,17,7,0,0,7,8,23,海南省,5
110,19.5,8,15,0,0,10,26,14,8,0,16,19,海南省,6
110,19.5,15,7,0,0,0,9,6,0,6,17,29,海南省,7
110,19.5,0,0,0,0,0,8,7,0,0,0,3,海南省,8
110,19.5,0,0,0,0,0,0,0,0,0,0,0,海南省,9
110,19.5,0,0,0,0,0,0,0,0,0,0,0,海南省,10
110.5,19.5,6,0,0,0,5,9,0,0,4,8,21,海南省,5
110.5,19.5,0,9,0,6,11,26,16,9,3,10,18,海南省,6
110.5,19.5,14,7,0,0,0,16,12,0,11,18,28,海南省,7
110.5,19.5,0,0,0,0,0,14,10,0,0,6,3,海南省,8
110.5,19.5,0,0,0,0,0,6,0,0,0,0,0,海南省,9
110.5,19.5,0,0,0,0,0,0,0,0,0,0,0,海南省,10
110.5,20,6,0,0,0,15,3,0,0,5,7,16,海南省,5
110.5,20,9,0,0,0,10,26,16,8,1,20,27,海南省,6
110.5,20,13,0,0,0,0,8,12,0,11,26,31,海南省,7
110.5,20,0,0,0,0,13,16,0,17,0,0,3,海南省,8
110.5,20,0,0,0,0,0,0,0,0,0,0,6,海南省,9
110.5,20,0,0,0,0,0,0,0,0,0,0,0,海南省,10
110,20.5,6,6,14,9,18,13,6,0,14,0,21,广东省,5
110,20.5,9,17,0,3,10,24,0,6,6,6,26,广东省,6
110,20.5,15,0,0,0,0,16,13,0,0,12,31,广东省,7
110,20.5,0,0,0,0,0,0,0,8,0,0,1,广东省,8
110,20.5,0,0,0,0,0,0,0,0,0,0,0,广东省,9
110,20.5,0,0,0,0,0,0,0,0,0,0,0,广东省,10
110.5,20.5,0,0,0,0,0,2,0,0,0,0,7,广东省,5
110.5,20.5,6,0,0,0,6,8,17,7,6,18,24,广东省,6
110.5,20.5,7,0,0,0,15,8,15,2,11,30,27,广东省,7
110.5,20.5,0,2,0,2,19,20,13,20,0,13,8,广东省,8
110.5,20.5,14,6,0,4,0,0,3,0,0,0,13,广东省,9
110.5,20.5,0,0,0,0,0,0,3,0,0,0,0,广东省,10
110,21,6,9,6,6,10,13,8,0,7,6,16,广东省,5
110,21,9,17,0,0,10,27,0,0,6,7,27,广东省,6
110,21,22,0,0,0,0,18,10,0,0,0,31,广东省,7
110,21,0,0,0,0,0,6,0,6,0,0,5,广东省,8
110,21,0,0,0,0,0,0,0,0,0,0,0,广东省,9
110,21,0,0,0,0,0,0,0,0,0,0,0,广东省,10
110.5,21,0,0,0,0,0,2,0,0,0,6,1,广东省,5
110.5,21,0,0,0,0,8,12,15,7,6,14,21,广东省,6
110.5,21,9,7,6,0,13,8,15,2,11,21,24,广东省,7
110.5,21,0,3,4,2,7,17,14,20,0,17,5,广东省,8
110.5,21,14,6,2,4,0,0,3,0,0,0,8,广东省,9
110.5,21,0,0,0,0,0,0,3,0,0,0,0,广东省,10
100.5,21.5,22,0,14,11,19,24,15,20,6,30,26,云南省,5
100.5,21.5,17,0,6,9,10,10,0,0,0,9,15,云南省,6
100.5,21.5,2,5,0,0,0,6,5,0,0,14,6,云南省,7
100.5,21.5,0,1,0,0,0,0,1,0,0,0,4,云南省,8
100.5,21.5,0,0,0,0,0,0,0,0,0,0,2,云南省,9
100.5,21.5,0,0,0,0,0,0,0,0,0,0,0,云南省,10
101.5,21.5,21,0,15,14,19,24,13,15,7,30,26,云南省,5
101.5,21.5,8,0,0,10,10,5,0,0,0,11,20,云南省,6
101.5,21.5,0,0,0,0,0,14,5,0,0,6,12,云南省,7
101.5,21.5,0,0,0,0,0,0,7,0,0,0,0,云南省,8
101.5,21.5,0,0,0,0,0,0,0,0,0,0,0,云南省,9
101.5,21.5,0,0,0,0,0,0,0,0,0,0,0,云南省,10
109.5,21.5,0,0,0,0,8,8,0,0,0,0,14,广西壮族自治区,5
109.5,21.5,0,0,0,0,9,10,6,0,6,9,27,广西壮族自治区,6
109.5,21.5,9,0,6,0,0,16,12,2,6,13,31,广西壮族自治区,7
109.5,21.5,0,3,0,0,0,16,20,10,6,12,9,广西壮族自治区,8
109.5,21.5,8,6,0,6,0,0,9,0,0,0,9,广西壮族自治区,9
109.5,21.5,0,0,0,0,0,0,15,0,0,0,0,广西壮族自治区,10
110,21.5,0,0,7,9,8,10,8,0,0,6,15,广东省,5
110,21.5,6,22,0,3,9,28,0,0,0,13,27,广东省,6
110,21.5,18,0,6,0,0,18,15,0,0,0,31,广东省,7
110,21.5,0,2,0,0,0,6,0,7,0,0,8,广东省,8
110,21.5,6,6,0,0,0,0,0,0,0,0,4,广东省,9
110,21.5,0,0,0,0,0,0,6,0,0,0,0,广东省,10
110.5,21.5,0,0,6,0,0,4,0,0,0,9,11,广东省,5
110.5,21.5,8,0,0,6,7,14,8,8,0,16,21,广东省,6
110.5,21.5,14,7,6,0,13,17,14,2,8,12,25,广东省,7
110.5,21.5,0,2,11,0,6,19,5,16,0,11,14,广东省,8
110.5,21.5,7,6,2,0,0,0,3,0,0,0,4,广东省,9
110.5,21.5,0,0,0,0,0,0,3,0,0,0,0,广东省,10
100,22,25,7,24,22,18,23,15,23,12,30,26,云南省,5
100,22,6,0,7,6,10,4,0,0,0,15,17,云南省,6
100,22,0,0,0,0,0,0,0,0,0,0,0,云南省,7
100,22,0,0,0,0,0,0,0,0,0,0,0,云南省,8
100,22,0,0,0,0,0,0,0,0,0,0,0,云南省,9
100,22,0,0,0,0,0,0,0,0,0,0,0,云南省,10
100.5,22,21,0,9,15,18,23,16,21,6,30,26,云南省,5
100.5,22,6,0,6,7,10,11,0,0,0,16,19,云南省,6
100.5,22,0,0,0,0,0,0,0,0,0,7,5,云南省,7
100.5,22,0,0,0,0,0,0,0,0,0,0,4,云南省,8
100.5,22,0,0,0,0,0,0,0,0,0,0,2,云南省,9
100.5,22,0,0,0,0,0,0,0,0,0,0,0,云南省,10
101,22,24,0,9,15,18,25,13,21,6,30,26,云南省,5
101,22,12,0,0,9,10,11,0,0,0,19,18,云南省,6
101,22,0,0,0,0,0,8,0,0,0,4,5,云南省,7
101,22,0,0,0,0,0,0,0,0,0,0,0,云南省,8
101,22,0,0,0,0,0,0,0,0,0,0,0,云南省,9
101,22,0,0,0,0,0,0,0,0,0,0,0,云南省,10
101.5,22,21,0,15,14,18,24,15,15,7,30,26,云南省,5
101.5,22,13,0,0,8,10,5,0,0,0,17,16,云南省,6
101.5,22,0,5,0,0,0,8,5,0,0,6,6,云南省,7
101.5,22,0,1,0,0,0,0,7,0,0,0,0,云南省,8
101.5,22,0,0,0,0,0,0,0,0,0,0,0,云南省,9
101.5,22,0,0,0,0,0,0,0,0,0,0,0,云南省,10
107,22,13,0,8,9,9,11,6,0,0,7,21,广西壮族自治区,5
107,22,9,0,0,0,11,7,13,9,0,17,28,广西壮族自治区,6
107,22,11,6,6,0,8,15,19,2,11,10,30,广西壮族自治区,7
107,22,0,0,0,0,0,0,6,11,6,10,7,广西壮族自治区,8
107,22,0,6,0,0,0,0,0,0,0,0,8,广西壮族自治区,9
